2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.525,1000180400,0.489728,2.37492,2.37492,1.66363,0.861823,2.01652,2.01652,1.41137,0.786632,1.54852,1.54852,1.08374,0.935774,1.81646,1.81646,1.27265
2212,0.625,1000180400,0.428466,2.40657,2.40657,1.68588,0.818044,2.0594,2.0594,1.44135,0.811849,1.60947,1.60947,1.12661,0.811168,1.82887,1.82887,1.28008
2212,0.225,1000260560,0.657211,2.15695,2.15695,1.50762,0.910239,1.97985,1.97985,1.38691,0.771125,1.33132,1.33132,0.932391,1.59002,1.668,1.668,1.16816
2212,0.325,1000260560,0.675581,2.28014,2.28014,1.59737,0.908564,2.04766,2.04766,1.43441,0.816215,1.43039,1.43039,1.00199,1.45091,1.70678,1.70678,1.19517
2212,0.425,1000260560,0.643345,2.35818,2.35818,1.65198,0.912801,2.06349,2.06349,1.44255,0.863351,1.54387,1.54387,1.07932,1.29885,1.79885,1.79885,1.25988
2212,0.525,1000260560,0.674272,2.42124,2.42124,1.69615,0.973539,2.09957,2.09957,1.46773,0.892239,1.58196,1.58196,1.10656,1.09564,1.86783,1.86783,1.3076
2212,0.625,1000260560,0.726221,2.45017,2.45017,1.72059,0.893375,2.25196,2.25196,1.57443,0.969183,1.62179,1.62179,1.13512,1.0858,1.88406,1.88406,1.31885
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.525,1000180400,0.489728,2.37492,2.37492,1.66363,0.861823,2.01652,2.01652,1.41137,0.786632,1.54852,1.54852,1.08374,0.935774,1.81646,1.81646,1.27265
2212,0.625,1000180400,0.428466,2.40657,2.40657,1.68588,0.818044,2.0594,2.0594,1.44135,0.811849,1.60947,1.60947,1.12661,0.811168,1.82887,1.82887,1.28008
2212,0.225,1000260560,0.657211,2.15695,2.15695,1.50762,0.910239,1.97985,1.97985,1.38691,0.771125,1.33132,1.33132,0.932391,1.59002,1.668,1.668,1.16816
2212,0.325,1000260560,0.675581,2.28014,2.28014,1.59737,0.908564,2.04766,2.04766,1.43441,0.816215,1.43039,1.43039,1.00199,1.45091,1.70678,1.70678,1.19517
2212,0.425,1000260560,0.643345,2.35818,2.35818,1.65198,0.912801,2.06349,2.06349,1.44255,0.863351,1.54387,1.54387,1.07932,1.29885,1.79885,1.79885,1.25988
2212,0.525,1000260560,0.674272,2.42124,2.42124,1.69615,0.973539,2.09957,2.09957,1.46773,0.892239,1.58196,1.58196,1.10656,1.09564,1.86783,1.86783,1.3076
2212,0.625,1000260560,0.726221,2.45017,2.45017,1.72059,0.893375,2.25196,2.25196,1.57443,0.969183,1.62179,1.62179,1.13512,1.0858,1.88406,1.88406,1.31885
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.525,1000180400,0.489728,2.37492,2.37492,1.66363,0.861823,2.01652,2.01652,1.41137,0.786632,1.54852,1.54852,1.08374,0.935774,1.81646,1.81646,1.27265
2212,0.625,1000180400,0.428466,2.40657,2.40657,1.68588,0.818044,2.0594,2.0594,1.44135,0.811849,1.60947,1.60947,1.12661,0.811168,1.82887,1.82887,1.28008
2212,0.225,1000260560,0.657211,2.15695,2.15695,1.50762,0.910239,1.97985,1.97985,1.38691,0.771125,1.33132,1.33132,0.932391,1.59002,1.668,1.668,1.16816
2212,0.325,1000260560,0.675581,2.28014,2.28014,1.59737,0.908564,2.04766,2.04766,1.43441,0.816215,1.43039,1.43039,1.00199,1.45091,1.70678,1.70678,1.19517
2212,0.425,1000260560,0.643345,2.35818,2.35818,1.65198,0.912801,2.06349,2.06349,1.44255,0.863351,1.54387,1.54387,1.07932,1.29885,1.79885,1.79885,1.25988
2212,0.525,1000260560,0.674272,2.42124,2.42124,1.69615,0.973539,2.09957,2.09957,1.46773,0.892239,1.58196,1.58196,1.10656,1.09564,1.86783,1.86783,1.3076
2212,0.625,1000260560,0.726221,2.45017,2.45017,1.72059,0.893375,2.25196,2.25196,1.57443,0.969183,1.62179,1.62179,1.13512,1.0858,1.88406,1.88406,1.31885
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.525,1000180400,0.489728,2.37492,2.37492,1.66363,0.861823,2.01652,2.01652,1.41137,0.786632,1.54852,1.54852,1.08374,0.935774,1.81646,1.81646,1.27265
2212,0.625,1000180400,0.428466,2.40657,2.40657,1.68588,0.818044,2.0594,2.0594,1.44135,0.811849,1.60947,1.60947,1.12661,0.811168,1.82887,1.82887,1.28008
2212,0.225,1000260560,0.657211,2.15695,2.15695,1.50762,0.910239,1.97985,1.97985,1.38691,0.771125,1.33132,1.33132,0.932391,1.59002,1.668,1.668,1.16816
2212,0.325,1000260560,0.675581,2.28014,2.28014,1.59737,0.908564,2.04766,2.04766,1.43441,0.816215,1.43039,1.43039,1.00199,1.45091,1.70678,1.70678,1.19517
2212,0.425,1000260560,0.643345,2.35818,2.35818,1.65198,0.912801,2.06349,2.06349,1.44255,0.863351,1.54387,1.54387,1.07932,1.29885,1.79885,1.79885,1.25988
2212,0.525,1000260560,0.674272,2.42124,2.42124,1.69615,0.973539,2.09957,2.09957,1.46773,0.892239,1.58196,1.58196,1.10656,1.09564,1.86783,1.86783,1.3076
2212,0.625,1000260560,0.726221,2.45017,2.45017,1.72059,0.893375,2.25196,2.25196,1.57443,0.969183,1.62179,1.62179,1.13512,1.0858,1.88406,1.88406,1.31885
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.225,1000060120,1.27288,2.04711,1.97344,1.55083,1.39018,1.5736,1.56154,1.13356,1.03139,1.08098,1.08097,0.757066,1.98743,1.51259,1.48949,1.10882
2212,0.325,1000060120,1.36093,2.16934,2.05849,1.66837,1.31345,1.61455,1.6015,1.16556,1.13712,1.15788,1.15779,0.811592,1.84831,1.47117,1.4567,1.06659
2212,0.425,1000060120,1.46235,2.1961,2.0654,1.69559,1.44287,1.57704,1.56337,1.13892,1.17359,1.20274,1.20253,0.843684,1.6661,1.56424,1.54642,1.13787
2212,0.525,1000060120,1.41944,2.1992,2.07319,1.69786,1.4157,1.62299,1.60628,1.17709,1.29727,1.20678,1.20644,0.847105,1.61991,1.53377,1.51987,1.10942
2212,0.625,1000060120,1.56907,2.26256,2.10028,1.75922,1.42317,1.5916,1.57701,1.151,1.31293,1.20542,1.20507,0.846236,1.39477,1.53459,1.52526,1.10174
2212,0.225,1000080160,1.24439,2.11147,2.02659,1.61035,1.24904,1.68612,1.66857,1.2234,1.00674,1.14507,1.14502,0.802006,1.92625,1.5503,1.52498,1.1389
2212,0.325,1000080160,1.36205,2.35536,2.19004,1.84474,1.31172,1.66415,1.64687,1.20763,1.09466,1.21407,1.21387,0.85138,1.82121,1.60993,1.58134,1.18583
2212,0.425,1000080160,1.39529,2.25895,2.11885,1.75292,1.35602,1.64001,1.62297,1.1888,1.18887,1.27004,1.2695,0.892243,1.67929,1.62201,1.59763,1.18845
2212,0.525,1000080160,1.5432,2.3534,2.16328,1.84246,1.38927,1.69455,1.67182,1.23768,1.24272,1.28303,1.28228,0.902216,1.55683,1.62381,1.60347,1.18424
2212,0.625,1000080160,1.51827,2.41156,2.20612,1.89609,1.40321,1.71754,1.69056,1.25869,1.30053,1.29952,1.29846,0.915011,1.47842,1.62987,1.61132,1.18597
2212,0.225,1000180400,0.475082,2.10797,2.10797,1.47669,0.783787,1.91349,1.91349,1.33846,0.647294,1.28802,1.28802,0.902195,1.41009,1.75547,1.75547,1.22893
2212,0.325,1000180400,0.429899,2.25329,2.25329,1.57817,0.851807,1.91918,1.91918,1.34156,0.713014,1.41131,1.41131,0.98865,1.20582,1.73614,1.73614,1.21575
2212,0.425,1000180400,0.396676,2.32156,2.32156,1.62632,0.818831,1.96193,1.96193,1.37457,0.753714,1.47592,1.47592,1.03229,1.16561,1.78359,1.78359,1.24913
2212,0.525,1000180400,0.489728,2.37492,2.37492,1.66363,0.861823,2.01652,2.01652,1.41137,0.786632,1.54852,1.54852,1.08374,0.935774,1.81646,1.81646,1.27265
2212,0.625,1000180400,0.428466,2.40657,2.40657,1.68588,0.818044,2.0594,2.0594,1.44135,0.811849,1.60947,1.60947,1.12661,0.811168,1.82887,1.82887,1.28008
2212,0.225,1000260560,0.657211,2.15695,2.15695,1.50762,0.910239,1.97985,1.97985,1.38691,0.771125,1.33132,1.33132,0.932391,1.59002,1.668,1.668,1.16816
2212,0.325,1000260560,0.675581,2.28014,2.28014,1.59737,0.908564,2.04766,2.04766,1.43441,0.816215,1.43039,1.43039,1.00199,1.45091,1.70678,1.70678,1.19517
2212,0.425,1000260560,0.643345,2.35818,2.35818,1.65198,0.912801,2.06349,2.06349,1.44255,0.863351,1.54387,1.54387,1.07932,1.29885,1.79885,1.79885,1.25988
2212,0.525,1000260560,0.674272,2.42124,2.42124,1.69615,0.973539,2.09957,2.09957,1.46773,0.892239,1.58196,1.58196,1.10656,1.09564,1.86783,1.86783,1.3076
2212,0.625,1000260560,0.726221,2.45017,2.45017,1.72059,0.893375,2.25196,2.25196,1.57443,0.969183,1.62179,1.62179,1.13512,1.0858,1.88406,1.88406,1.31885
